,Price,Title,Subtitle,Discount_rate,Item Location,Refurbished,No of Watchers
163,350.00,"Apple iPhone 11 Pro Max - 256GB - Grey, Unlocked, In Excellent Condition",Pre-owned,0%,UK,N/A,0
164,329.99,New listingApple iPhone Xr - 64GB - Black *Unlocked* 1 year Apple warranty,Brand new,0%,UK,N/A,0
165,721.00,New listingApple iPhone 13 Pro Max - 1TB - Gold (Unlocked),Brand new,0%,UK,N/A,0
166,320.00,Apple iPhone 11 Pro Max - 64GB - Space Grey (Unlocked) A2218 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
167,899.00,Apple iPhone 13 Pro - 256GB - Sierra Blue (Unlocked),Brand new,0%,UK,N/A,0
168,524.99,Apple iPhone 12 Pro 128/256/512GB - All Colours - Good Condition,FREE NEXT DAY DELIVERY & 12 MONTH WARRANTY,0%,UK,Refurbished,7+ sold
169,680.00,New listingApple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked),"Excellent cond, Includes Box, 2 Cases and accessories",0%,UK,N/A,0
170,505.00,Apple iPhone 13 mini - 128GB - Midnight (Unlocked),Pre-owned,0%,UK,N/A,0
172,310.00,Apple iPhone 11 Pro - 64GB - Space Grey (Unlocked) A2215 (CDMA + GSM),Pre-owned,0%,UK,N/A,0
173,361.00,Apple iPhone 13 - 128GB - Blue (Unlocked),Brand new,0%,UK,N/A,0
174,310.00,Apple iPhone 11 64GB Black Box + cables Unlocked A2221 Excellent Condition,Pre-owned,0%,UK,N/A,0
175,375.00,Apple iPhone SE 3rd Gen. - 256GB - Midnight (Unlocked),Pre-owned,0%,UK,N/A,0
176,550.00,Apple iPhone 13 - 128GB - Midnight (Unlocked),Brand new,0%,UK,N/A,0
177,310.00,Apple iPhone 13 (PRODUCT)RED - 128GB - (Unlocked) with 10 covers!,Pre-owned,0%,UK,N/A,0
178,399.00,Apple iPhone 12 - 64GB - Black (Unlocked),Pre-owned,0%,UK,N/A,0
179,400.00,Apple iPhone SE 3rd Gen. (2022) - 128GB - Midnight (Unlocked),Opened – never used,0%,UK,N/A,0
180,449.99,Apple iPhone 12 Black - 64GB - Unlocked,Pre-owned,0%,UK,N/A,0
181,393.00 to 479.00,Apple iPhone 12 Mini 64GB 128GB 256GB Unlocked All Colours - Very Good,15% with CODE AUG15. Ends 04/01. Max Discount £60.,0%,UK,Refurbished,13+ sold
182,279.99 to 359.99,Apple iPhone XR - All Sizes & Colours (UNLOCKED) Very Good Condition Smartphone,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,30+ sold
184,869.99 to 909.99,Apple iPhone 12 Pro Max - All Sizes & Colours - Unlocked - Excellent Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,21+ sold
185,319.99,Apple iPhone XS 64/ 256/ 512GB 5.8inch Unlocked All Colours Excellent Condition,GRADE A |12 MONTHS WARRANTY | UNLOCKED | TOP UK SELLER,0%,UK,Refurbished,0
186,329.99 to 379.99,Apple iPhone XR - All Colours - 64GB 128GB 256GB - Unlocked Excellent Condition,SUMMER SALE 10% OFF WITH CODE SUMMERMAGPIE10 max £150,0%,UK,Refurbished,73+ sold
187,279.99 to 305.00,APPLE iPhone 8 Plus 64GB UNLOCKED Original Box Pack Sealed,Brand new,0%,UK,N/A,0
